"ESD","SETTING","ESTIMATE","STABILITY","MEDIAN","SAMPLE"
"R034BY006UT","INTERSPACES","LOW",3,3,43
"R034BY006UT","INTERSPACES","HIGH",4,4,43
"R034BY006UT","CANOPY","LOW",3,4,40
"R034BY006UT","CANOPY","HIGH",5,5,40
"R034BY006UT","SITE","LOW",4,4,42
"R034BY006UT","SITE","HIGH",4,4,42
"R036XY325CO","INTERSPACES","LOW",2,3,43
"R036XY325CO","INTERSPACES","HIGH",4,4,43
"R036XY325CO","CANOPY","LOW",5,4,40
"R036XY325CO","CANOPY","HIGH",6,5,40
"R036XY325CO","SITE","LOW",4,4,42
"R036XY325CO","SITE","HIGH",4,4,42
"R036XY114CO","INTERSPACES","LOW",3,3,43
"R036XY114CO","INTERSPACES","HIGH",6,4,43
"R036XY113CO","INTERSPACES","LOW",3,3,43
"R036XY113CO","INTERSPACES","HIGH",4,4,43
"R036XY113CO","CANOPY","LOW",5,4,40
"R036XY113CO","CANOPY","HIGH",6,5,40
"R036XY113CO","SITE","LOW",4,4,42
"R036XY113CO","SITE","HIGH",4,4,42
"R036XY284CO","INTERSPACES","LOW",2,3,43
"R036XY284CO","INTERSPACES","HIGH",4,4,43
"R036XY284CO","CANOPY","LOW",4,4,40
"R036XY284CO","CANOPY","HIGH",6,5,40
"R034BY109UT","INTERSPACES","LOW",2,3,43
"R034BY109UT","INTERSPACES","HIGH",3,4,43
"R034BY109UT","CANOPY","LOW",4,4,40
"R034BY109UT","CANOPY","HIGH",5,5,40
"R034BY109UT","SITE","LOW",3,4,42
"R034BY109UT","SITE","HIGH",4,4,42
"R034BY117UT","INTERSPACES","LOW",2,3,43
"R034BY117UT","INTERSPACES","HIGH",3,4,43
"R034BY117UT","CANOPY","LOW",3,4,40
"R034BY117UT","CANOPY","HIGH",4,5,40
"R034BY117UT","SITE","LOW",3,4,42
"R034BY117UT","SITE","HIGH",3,4,42
"R036XY287CO","INTERSPACES","LOW",2,3,43
"R036XY287CO","INTERSPACES","HIGH",4,4,43
"R036XY287CO","CANOPY","LOW",3,4,40
"R036XY287CO","CANOPY","HIGH",5,5,40
"R034BY104UT","INTERSPACES","LOW",2,3,43
"R034BY104UT","INTERSPACES","HIGH",3,4,43
"R034BY104UT","CANOPY","LOW",3,4,40
"R034BY104UT","CANOPY","HIGH",4,5,40
"R034BY104UT","SITE","LOW",3,4,42
"R034BY104UT","SITE","HIGH",3,4,42
"R034BY322UT","INTERSPACES","LOW",4,3,43
"R034BY322UT","INTERSPACES","HIGH",5,4,43
"R034BY322UT","CANOPY","LOW",3,4,40
"R034BY322UT","CANOPY","HIGH",4,5,40
"R034BY322UT","SITE","LOW",4,4,42
"R034BY322UT","SITE","HIGH",4,4,42
"R034BY112UT","INTERSPACES","LOW",2,3,43
"R034BY112UT","INTERSPACES","HIGH",3,4,43
"R034BY112UT","CANOPY","LOW",3,4,40
"R034BY112UT","CANOPY","HIGH",4,5,40
"R034BY112UT","SITE","LOW",3,4,42
"R034BY112UT","SITE","HIGH",3,4,42
"R036XY111CO","INTERSPACES","LOW",3,3,43
"R036XY111CO","INTERSPACES","HIGH",4,4,43
"R036XY111CO","CANOPY","LOW",4,4,40
"R036XY111CO","CANOPY","HIGH",5,5,40
"R036XY111CO","SITE","LOW",4,4,42
"R036XY111CO","SITE","HIGH",4,4,42
"R036XY289CO","INTERSPACES","LOW",2,3,43
"R036XY289CO","INTERSPACES","HIGH",3,4,43
"R036XY326CO","INTERSPACES","LOW",2,3,43
"R036XY326CO","INTERSPACES","HIGH",3,4,43
"R036XY326CO","CANOPY","LOW",4,4,40
"R036XY326CO","CANOPY","HIGH",5,5,40
"R036XY326CO","SITE","LOW",3,4,42
"R036XY326CO","SITE","HIGH",3,4,42
"R035XY136UT","INTERSPACES","LOW",3,3,43
"R035XY136UT","INTERSPACES","HIGH",4,4,43
"R035XY136UT","CANOPY","LOW",4,4,40
"R035XY136UT","CANOPY","HIGH",5,5,40
"R035XY136UT","SITE","LOW",4,4,42
"R035XY136UT","SITE","HIGH",4,4,42
"R034BY404CO","INTERSPACES","LOW",2,3,43
"R034BY404CO","INTERSPACES","HIGH",4,4,43
"R034BY404CO","CANOPY","LOW",4,4,40
"R034BY404CO","CANOPY","HIGH",6,5,40
"R036XY315UT","SITE","LOW",5,4,42
"R036XY315UT","SITE","HIGH",6,4,42
"R036XY405CO","SITE","LOW",4,4,42
"R036XY405CO","SITE","HIGH",4,4,42
"R036XY445CO","INTERSPACES","LOW",3,3,43
"R036XY445CO","INTERSPACES","HIGH",6,4,43
"R034BY106UT","INTERSPACES","LOW",4,3,43
"R034BY106UT","INTERSPACES","HIGH",4,4,43
"R034BY106UT","CANOPY","LOW",4,4,40
"R034BY106UT","CANOPY","HIGH",5,5,40
"R034BY106UT","SITE","LOW",4,4,42
"R034BY106UT","SITE","HIGH",4,4,42
"R034BY212UT","INTERSPACES","LOW",4,3,43
"R034BY212UT","INTERSPACES","HIGH",5,4,43
"R034BY212UT","CANOPY","LOW",5,4,40
"R034BY212UT","CANOPY","HIGH",6,5,40
"R034BY212UT","SITE","LOW",5,4,42
"R034BY212UT","SITE","HIGH",5,4,42
"R034BY248UT","INTERSPACES","LOW",4,3,43
"R034BY248UT","INTERSPACES","HIGH",5,4,43
"R034BY248UT","CANOPY","LOW",5,4,40
"R034BY248UT","CANOPY","HIGH",6,5,40
"R034BY248UT","SITE","LOW",5,4,42
"R034BY248UT","SITE","HIGH",5,4,42
"R034BY240UT","INTERSPACES","LOW",3,3,43
"R034BY240UT","INTERSPACES","HIGH",5,4,43
"R034BY240UT","CANOPY","LOW",4,4,40
"R034BY240UT","CANOPY","HIGH",5,5,40
"R034BY240UT","SITE","LOW",4,4,42
"R034BY240UT","SITE","HIGH",4,4,42
"R034BY244UT","INTERSPACES","LOW",4,3,43
"R034BY244UT","INTERSPACES","HIGH",5,4,43
"R034BY244UT","CANOPY","LOW",5,4,40
"R034BY244UT","CANOPY","HIGH",6,5,40
"R034BY244UT","SITE","LOW",5,4,42
"R034BY244UT","SITE","HIGH",5,4,42
"R034BY202UT","INTERSPACES","LOW",4,3,43
"R034BY202UT","INTERSPACES","HIGH",5,4,43
"R034BY202UT","CANOPY","LOW",5,4,40
"R034BY202UT","CANOPY","HIGH",6,5,40
"R034BY202UT","SITE","LOW",5,4,42
"R034BY202UT","SITE","HIGH",5,4,42
"R036XY446CO","SITE","LOW",4,4,42
"R036XY446CO","SITE","HIGH",5,4,42
"R036XY142CO","SITE","LOW",3,4,42
"R036XY142CO","SITE","HIGH",5,4,42
"R036XY141CO","SITE","LOW",3,4,42
"R036XY141CO","SITE","HIGH",5,4,42
"R036XY346CO","INTERSPACES","LOW",2,3,43
"R036XY346CO","INTERSPACES","HIGH",4,4,43
"R036XY346CO","CANOPY","LOW",4,4,40
"R036XY346CO","CANOPY","HIGH",6,5,40
"R036XY310CO","INTERSPACES","LOW",1,3,43
"R036XY310CO","INTERSPACES","HIGH",3,4,43
"R036XY310CO","CANOPY","LOW",2,4,40
"R036XY310CO","CANOPY","HIGH",4,5,40
"R034BY101UT","INTERSPACES","LOW",3,3,43
"R034BY101UT","INTERSPACES","HIGH",4,4,43
"R034BY101UT","CANOPY","LOW",4,4,40
"R034BY101UT","CANOPY","HIGH",5,5,40
"R034BY101UT","SITE","LOW",4,4,42
"R034BY101UT","SITE","HIGH",4,4,42
"R034BY103UT","INTERSPACES","LOW",2,3,43
"R034BY103UT","INTERSPACES","HIGH",3,4,43
"R034BY103UT","CANOPY","LOW",3,4,40
"R034BY103UT","CANOPY","HIGH",4,5,40
"R034BY103UT","SITE","LOW",3,4,42
"R034BY103UT","SITE","HIGH",3,4,42
"R034BY121UT","INTERSPACES","LOW",3,3,43
"R034BY121UT","INTERSPACES","HIGH",4,4,43
"R034BY121UT","CANOPY","LOW",4,4,40
"R034BY121UT","CANOPY","HIGH",5,5,40
"R034BY121UT","SITE","LOW",4,4,42
"R034BY121UT","SITE","HIGH",4,4,42
"R036XY038CO","SITE","LOW",4,4,42
"R036XY038CO","SITE","HIGH",5,4,42
"R034BY227UT","INTERSPACES","LOW",3,3,43
"R034BY227UT","INTERSPACES","HIGH",4,4,43
"R034BY227UT","CANOPY","LOW",4,4,40
"R034BY227UT","CANOPY","HIGH",5,5,40
"R034BY227UT","SITE","LOW",4,4,42
"R034BY227UT","SITE","HIGH",4,4,42
"R034BY115UT","INTERSPACES","LOW",2,3,43
"R034BY115UT","INTERSPACES","HIGH",3,4,43
"R034BY115UT","CANOPY","LOW",3,4,40
"R034BY115UT","CANOPY","HIGH",4,5,40
"R034BY115UT","SITE","LOW",3,4,42
"R034BY115UT","SITE","HIGH",3,4,42
"R034BY315UT","INTERSPACES","LOW",2,3,43
"R034BY315UT","INTERSPACES","HIGH",4,4,43
"R034BY315UT","CANOPY","LOW",4,4,40
"R034BY315UT","CANOPY","HIGH",5,5,40
"R034BY315UT","SITE","LOW",4,4,42
"R034BY315UT","SITE","HIGH",4,4,42
"R035XY263UT","SITE","LOW",4,4,42
"R035XY263UT","SITE","HIGH",4,4,42
"R036XY266CO","SITE","LOW",3,4,42
"R036XY266CO","SITE","HIGH",5,4,42
"R035XY015UT","INTERSPACES","LOW",3,3,43
"R035XY015UT","INTERSPACES","HIGH",4,4,43
"R035XY015UT","CANOPY","LOW",4,4,40
"R035XY015UT","CANOPY","HIGH",5,5,40
"R035XY015UT","SITE","LOW",4,4,42
"R035XY015UT","SITE","HIGH",4,4,42
"R035XY003UT","INTERSPACES","LOW",2,3,43
"R035XY003UT","INTERSPACES","HIGH",3,4,43
"R035XY003UT","CANOPY","LOW",2,4,40
"R035XY003UT","CANOPY","HIGH",3,5,40
"R035XY003UT","SITE","LOW",2,4,42
"R035XY003UT","SITE","HIGH",3,4,42
"R035XY011UT","INTERSPACES","LOW",4,3,43
"R035XY011UT","INTERSPACES","HIGH",5,4,43
"R035XY011UT","CANOPY","LOW",5,4,40
"R035XY011UT","CANOPY","HIGH",6,5,40
"R035XY011UT","SITE","LOW",5,4,42
"R035XY011UT","SITE","HIGH",5,4,42
"R034BY216UT","INTERSPACES","LOW",4,3,43
"R034BY216UT","INTERSPACES","HIGH",5,4,43
"R034BY216UT","CANOPY","LOW",5,4,40
"R034BY216UT","CANOPY","HIGH",6,5,40
"R034BY216UT","SITE","LOW",5,4,42
"R034BY216UT","SITE","HIGH",5,4,42
"R034BY233UT","INTERSPACES","LOW",3,3,43
"R034BY233UT","INTERSPACES","HIGH",4,4,43
"R034BY233UT","CANOPY","LOW",4,4,40
"R034BY233UT","CANOPY","HIGH",5,5,40
"R034BY233UT","SITE","LOW",4,4,42
"R034BY233UT","SITE","HIGH",4,4,42
"R034BY247UT","INTERSPACES","LOW",4,3,43
"R034BY247UT","INTERSPACES","HIGH",5,4,43
"R034BY247UT","CANOPY","LOW",5,4,40
"R034BY247UT","CANOPY","HIGH",6,5,40
"R034BY247UT","SITE","LOW",5,4,42
"R034BY247UT","SITE","HIGH",5,4,42
"R034BY205UT","INTERSPACES","LOW",4,3,43
"R034BY205UT","INTERSPACES","HIGH",5,4,43
"R034BY205UT","CANOPY","LOW",5,4,40
"R034BY205UT","CANOPY","HIGH",6,5,40
"R034BY205UT","SITE","LOW",5,4,42
"R034BY205UT","SITE","HIGH",5,4,42
"R034BY206UT","INTERSPACES","LOW",4,3,43
"R034BY206UT","INTERSPACES","HIGH",5,4,43
"R034BY206UT","CANOPY","LOW",5,4,40
"R034BY206UT","CANOPY","HIGH",6,5,40
"R034BY206UT","SITE","LOW",5,4,42
"R034BY206UT","SITE","HIGH",5,4,42
"R034BY251UT","INTERSPACES","LOW",3,3,43
"R034BY251UT","INTERSPACES","HIGH",4,4,43
"R034BY251UT","CANOPY","LOW",4,4,40
"R034BY251UT","CANOPY","HIGH",5,5,40
"R034BY251UT","SITE","LOW",4,4,42
"R034BY251UT","SITE","HIGH",4,4,42
"R034BY225UT","INTERSPACES","LOW",3,3,43
"R034BY225UT","INTERSPACES","HIGH",4,4,43
"R034BY225UT","CANOPY","LOW",4,4,40
"R034BY225UT","CANOPY","HIGH",5,5,40
"R034BY118UT","INTERSPACES","LOW",3,3,43
"R034BY118UT","INTERSPACES","HIGH",4,4,43
"R034BY118UT","CANOPY","LOW",4,4,40
"R034BY118UT","CANOPY","HIGH",5,5,40
"R034BY118UT","SITE","LOW",4,4,42
"R034BY118UT","SITE","HIGH",4,4,42
"R035XY240UT","SITE","LOW",4,4,42
"R035XY240UT","SITE","HIGH",4,4,42
"R035XY146UT","INTERSPACES","LOW",3,3,43
"R035XY146UT","INTERSPACES","HIGH",4,4,43
"R035XY146UT","CANOPY","LOW",4,4,40
"R035XY146UT","CANOPY","HIGH",5,5,40
